Assumption,Unit,FY2025,FY2026,FY2027,FY2028,FY2029,FY2030,FY2031,FY2032,FY2033,FY2034,FY2035,FY2036,FY2037,FY2038,FY2039,FY2040,Notes
"INTERCONNECTORS",,,,,,,,,,,,,,,,,,,
"IFA1/2 Revenue (£m)",£m,158,191,179,161,146,140,140,140,140,140,140,140,140,140,140,140,"Capacity * Avail * Spread * Hours or Regulated Return"
"IFA1/2 Opex (£m)",£m,-30,-31,-32,-33,-34,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,"Grows with inflation"
"IFA1/2 Capex (£m)",£m,-10,-10,-50,-50,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,"Maintenance or specific upgrades"
"BritNed Revenue (£m)",£m,96,106,90,82,82,80,80,80,80,80,80,80,80,80,80,80,""
"BritNed Opex (£m)",£m,-20,-21,-22,-23,-24,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,""
"BritNed Capex (£m)",£m,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,""
"Nemo Link Revenue (£m)",£m,120,122,124,126,128,130,130,130,130,130,130,130,130,130,130,130,"Example of regulated return type"
"Nemo Link Opex (£m)",£m,-25,-26,-27,-28,-29,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,""
"Nemo Link Capex (£m)",£m,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,""
"North Sea Link Revenue (£m)",£m,150,155,160,165,170,170,170,170,170,170,170,170,170,170,170,170,""
"North Sea Link Opex (£m)",£m,-35,-36,-37,-38,-39,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,-40,""
"North Sea Link Capex (£m)",£m,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,""
"Viking Link Revenue (£m)",£m,100,140,150,155,160,160,160,160,160,160,160,160,160,160,160,160,"Assumed operational ramp-up"
"Viking Link Opex (£m)",£m,-30,-35,-36,-37,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,""
"Viking Link Capex (£m)",£m,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,""
"New Interconnector Project (e.g. Nautilus) Revenue (£m)",£m,0,0,0,180,185,190,190,190,190,190,190,190,190,190,190,190,"Starts FY2028"
"New Interconnector Project Opex (£m)",£m,0,0,0,-40,-41,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,"Starts FY2028"
"New Interconnector Project Capex (£m)",£m,-100,-200,-250,-50,0,0,0,0,0,0,0,0,0,0,0,0,"Construction phase"
"GRAIN LNG",,,,,,,,,,,,,,,,,,,
"Grain LNG Revenue (£m)",£m,150,153,146,148,140,135,135,135,135,135,135,135,135,135,135,135,"Contracted capacity * tariff"
"Grain LNG Opex (£m)",£m,-50,-51,-52,-53,-54,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,"Grows with inflation"
"Grain LNG Capex (£m)",£m,-20,-30,-40,-20,-15,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,"Expansion/Maintenance"
"OTHER NGV (e.g. US Transmission, New Ventures)",,,,,,,,,,,,,,,,,,,
"Other NGV Revenue (£m)",£m,20,22,24,25,26,27,27,27,27,27,27,27,27,27,27,27,""
"Other NGV Opex (£m)",£m,-10,-11,-12,-12,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,""
"Other NGV Capex (£m)",£m,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,""
